title,description,tags
A GUI for controlling and supervising multiple robots remotely,The idea is to create a GUI platform where a user can give commands which is to be followed by some ground units in a remote location. The server can identify the starting locations of the robots and manipulate them to do the task in the most efficient way as possible.,"['gui', 'efficient']"
An Efficient System For Waste Collection,This Project aims to implement an Efficient Waste  Collection System in urban areas. Its is a very well known fact to the public that the waste collection in our country is done in a very primitive manner. ,"['efficient', 'urban']"
An automated system for monitoring and controlling the water supply to a large farmland,This is a system for automatically controlling the amount of water flow in a soil field for maintaining the correct amount of water over it. The idea is to sense the amount of water using a device with an embedded system. The device has sensing elements where it measures the electrical conductivity and those results are used to estimate the amount of water the soil has. The system could be controlled by a controller/supervisor or it can be done in an automated way. The device will automatically switch off the water supplier when the highest level is reached and switch on the motor when the lowest level is reached.,"['automatically', 'electrical', 'automated']"
Automated Bike Sharing System,This project is about building an automated bike sharing system for university. This will be a convenient way for transportation inside the university premises.,['automated']
Automated Book Management System Automated Book Carrying Robot,"In libraries, We have planned to implement a book carrying robot to help the workers. Our embedded system will have Arduino, IR sensors, DC motors, power batteries and voltage regulator etc.","['robot', 'ir', 'dc', 'power']"
Automated Vehicle Parking System,"Vehicle Parking areas usually have people who give printed tickets for parking. This consumes a lot of time and which causes a lot of traffic. Along with causing traffic and commotion, there is also a lot of paper litter outside the vehicle parking areas.As the number of vehicles are increasing, the problems faced by manual parking management system are also increasing. Such problems can be eliminated to some extent by implementing an intelligent parking system where the entry and exit of cars is monitored and payment is made easy with sensor technology.In order to avoid all of these, Automated Vehicle Parking System can be used. This project uses an RFID which can be swiped at the entrance.","['time', 'sensor', 'automated']"
Automated Water Quality Monitoring System," Fresh water is finite resource need for agriculture,industry and human existence. Therefore the quality of water is very important.The objective of this project is to develop automated water quality monitoring system by using continues measurements of pH and turbidity measurement.Normal process is water samples are normally collected at regular period and do the analysis and this ask for larger time consumption.But in this project we hope to offer fast and easy monitoring of pH and turbidity levels with IoT applications for continues maintenance of clean water","['automated', 'time', 'iot']"
Automatic Door Lock System," Today, security has become the most important thing to be considered. People need a security system to prohibit unauthorized access to their property. Our target is to implement an automatic door lock system which allows the access only for authorized people. It helps to safeguard property from unauthorized people. ",[]
E Checkup,This project is about making an online interface for routine medical checkups. Usually people are not happy with standing in a queue or waiting a long time in the hospital to see the doctor as well as doctors also need a most efficient and effective way to examine their patients. Mostly in routine medical checkups doctor needs a data of several biometric parameters of patient’s body. These data can be measured by some sensors and stored through our system.,"['online', 'medical', 'time', 'efficient', 'data']"
Embedded system for detecting adverse gases,"As we all know Kandy is the most polluted city in Sri Lanka. It's air has been polluted three times than the air in Colombo. There are many solutions have been taken in order to reduce the air pollution in city Kandy. But the thing is that non of them could not show better performance in giving solution for that problem. So that from our project we hope to provide most important information which may be significant when finding solutions for that problem. We may implement an embedded system from which temperature,humidity, and toxic gases (CO,CO2,NO2) may be measured using relavant sensors and from these measurements it will show locations and time where air pollution is high in Kandy city.",['time']
Fire Detection and Alert System,"In Sri Lanka also fire incidents have caused many life and property damages. In our project, we try to implement a practical solution to alert people before fire getting spread out so that people can minimize the damage caused by fire.",['fire']
Health Watch,"Health Watch is a wrist band which monitors certain variables in the body, such as the heart rate, blood oxygen level and temperature",[]
Hydroponics Automation System,Hydroponics is the method of growing plants in a nutrient-rich water-based environment which uses artificial lighting. This method is widely used in modern agriculture because of less space and conservation of water. But the main disadvantage of this system is the need of constant monitoring to get the maximum benefits from it.,"['artificial', 'agriculture']"
Intelligent Road Traffic Control System,"Vehicle travel across the world is increasing, especially in larger urban areas. It is a serious problem in traffic congestions in many major cities around the world and in these cities, it has become a nightmare for travelers. Intelligent control of traffic in the future will become a very important issue. Therefore, to better accommodation of this increasing demand, traffic control algorithms need to be simulated and optimized. ",['urban']
Monitoring and Tracking System for Transportation of Pharmaceuticals,,[]
