title,tags
A GUI for controlling and supervising multiple robots remotely,"['gui platform', 'efficient']"
An Efficient System For Waste Collection,"['efficient', 'urban']"
An automated system for monitoring and controlling the water supply to a large farmland,"['automatically', 'electrical', 'automated']"
Automated Book Management System Automated Book Carrying Robot,"['carrying robot', 'embedded system','ir sensors', 'dc motors', 'power']"
Automated Vehicle Parking System,"['time', 'sensor', 'automated','parking management','sensor technology']"
Automated Water Quality Monitoring System,"['easy monitoring','automated', 'time', 'iot']"
E Checkup,"['easy monitoring','online', 'medical','biometric parameters', 'time', 'efficient', 'data']"
Hydroponics Automation System,"['artificial', 'agriculture','artificial lighting']"
Smart Educational Management System,"['smart', 'data', 'automation','eco-friendly']"
Air Quality Monitoring system,"['smart', 'monitor', 'data', 'urban']"
Automated Attendance system,"['time', 'sensor','embedded system']"
Automated Bike Sharing System,"['time', 'mobile', 'automated','energy consumption']"
Automated Electricity Billing System,"['electronic', 'electrical', 'automated']"
Automated Fishing Bot,"['industry', 'monitor']"
Automated Greenhouse Fertilizing System,"['real time', 'automated']"
River water level and speed monitoring and alert system,"['monitor', 'prediction', 'better prediction']"
Smart Waste Disposal Monitoring System,"['smart', 'power', 'iot', 'efficient', 'time', 'real', 'data']"
Smart Cradle,"['automated', 'mobile', 'mobile application']"
Smart Pour,"['automated', 'mobile', mobile application]"
remote medical diagnostics,"['online', 'medical','online platform']"
remote proctoring system,"['smart', 'remotely', 'controlled remotely']"
smart door lock,"['smart', 'sensor', 'data', 'database', 'ir', 'advanced security system', 'face recognition']"
smart meeting automaton,"['smart', 'automatically', 'data', 'mobile', 'remote controllers', ' mobile application']"
smart pharmaceutical warehousing,"['automated', 'online', 'security system']"
smart shopping cart with automatic bill system,"['smart', 'mobile', 'mobile app', 'web app']"
waiterbot system,"['smart', 'mobile', 'mobile application', 'web application']"
water quality monitoring and usage monitoring system,"['monitor', 'mobile', 'mobile application']"
Optimizing Mitochondria Genome Assembly And Annotation With Skim Sequencing Data,"['efficient', 'data', 'mitochondria genome']"
Real Time Data processing and AI for Distributed IoT,"['real', 'time', 'processing', 'base']"
Real Time Emotion Recognition using Electrocardiogram Analysis,"['industry', 'real', 'time']"
Revealing miRNA Biomarkers for Alzheimer s Disease using NGS,"['database', 'data', 'python']"
cricket analysis,"['data', 'prediction', 'data mining']"
sports action recognition,"['computer', 'automated', 'skeleton-based']"
Analysis Tool for Industrial Images,"['image', 'processing']"
Greenhouse monitoring and controlling based on IOT sensor data,"['time', 'automation', 'monitor', 'automatically', 'automated', 'sensor', 'data', 'database']"
Host Pathogen Interaction,"['data', 'gui', 'microbiome', 'programming']"
RV32IM pipeline implementation group1,"['pipeline', 'cpu', 'behavioral modeling']"
RV32IM pipeline implementation group3,"['cpu', 'memory', 'cache memory']"
business to business database,"['relational', 'database', 'online']"
balancing an inverted pendulum using a neural network,['python']
RV32IM pipeline implementation group3,"['cpu','memory','risc-v Instruction set','cache memory']"
RISCV pipeline cpu implementation group04,"['processor', 'computer architecture', 'risc-v']"
RISCV Pipeline CPU Implimentation Group2,['risc-v']
packet forwarding simulator,"['network','simulator']"
mabandit,['python']
dynamic background cancellation in videos,['unsupervises learning']
Pera Knowledge Portal,"['php','ElasticSearch']"
SL Number Plate Detection Group A,"['automated','images']"
Mini Project Group H,"['open cv', 'python','NPR']"
Swarm Robot Monitoring System group C,"['video restoration','real time']"
Zero Trash,['communication']
GPSARSA gaussian process state action reward state actios based SITNSHOP,"['web', 'mobile']"
Project Publication Platform,['website based platform']
road accident analyzer,
apparel industry performance analyser,['data visualization']
Visualization of Teacher Student Activities,['moodle log data']
Sobriety Detection Using Mobile Phone Gyroscope Data,"['API','Gyroscopic data']"
Skim Sequencing Analysis,"['Skim sequencing data','analytic software']"
Prediction of risks associated with mass corona vaccination,['vaccination']
Prediction of heart disease using ECG,['ecg data']
Oral Cavity Region Detection,['imags']
NGS Data AnalysingToolkit,['sequencing data']
Host Pathogen Interaction,"['data', 'gui']"
History of Music,['ml']
Greenhouse monitoring and controlling based on IOT sensor data,"['iot','sensor','web interface']"
Greenhouse Monitoring System,"['image','data']"
Remotely Controlled CNC Robot,"['cnc','plc','remotely']"
ipb,"['ipb','graphical form']"
f5n_server,[' f5n pipeline']
dark arts algorithms for low light image enhancement and interpretation,"['algorithm','image']"
HBFT,['traversal algorithm']
building a testbed for power analysis attacks,['power']
CUDA_Fast_ICA,['cuda']
sports action recognition,['human action recognition']
online proctoring system,"['monitoring','automate','web browser','external hardware']"
nearIR spectroscopy,['visualization']
human behavior prediction using cctv,"['adaptive system','video streaming']"
cricket analysis,['data']
anonymous authentication,[' authentication protocols ']
Revealing miRNA Biomarkers for Alzheimer s Disease using NGS,['sequencing data']
Real Time Emotion Recognition using Electrocardiogram Analysis,"['recognition','real time model']"
Real Time Data processing and AI for Distributed IoT,"['ai','ml','real time','computation distribution',' vectorization', 'computation offloading', 'parallelization']"
Pipeline for Isolation of Fast evolving ITS Regions from Skim Sequencing Data,"['its','sequence']"
Optimizing chloroplast genome assembly and annotation with skim sequencing data,"['computational, statistical & heuristical methods]"
Mixed Reality based Simulation Platform for Swarm Robotics,"['mixed reality-based simulator','physical', 'virtual robots ']"
Identifying keywords in legal articles using ML techniques,['ml']
Hand Gesture Recognition using sEMG,"['machine interfaces using semg signals','real-time environment']"
Explainable Machine Learning for Real World Resource Constrained Problems,"['machine learning ','ml ','general data protection regulation', 'gdpr',  'personal data protection act', 'pdpa ']"
Doppelganger Cartoon," 'pre-trained model', 'combined model', 'classification model','ml model']"
Brain Computer Interface for controlling virtual objects,"['brain-computer Interface', 'controlling virtual objects', 'real-time']"
